experiment	wave_val	std_val	gap	epochs	feature_dim	alpha	seeds	t_stat	p_val	status	description
P1_1ep_BAD	3.3542	3.3464	-0.0077	1	24	0.0	1			REVERT	SCHEDULER BUG: LR=0 after epoch 1. Invalidated.
P1_1ep	3.2485	3.2260	-0.0225	1	24	0.0	1			INFO	24-dim, d=512/h=8/L=1/ff=256/lr=5e-4, wave 2 heads. Std wins slightly.
P2_3ep	2.9406	2.9132	-0.0275	3	24	0.0	1			REFUTE	Gap widens at 3ep: standard pulls ahead. Wave features not helping.
P4_a005	3.1135	2.9132	-0.2003	3	24	0.05	1			REFUTE	Alpha=0.05 ASA bias HURTS wave model significantly.
P4_a010	3.1362	2.9132	-0.2230	3	24	0.1	1			REFUTE	Alpha=0.1 ASA bias even worse.
P4_a020	3.1205	2.9132	-0.2073	3	24	0.2	1			REFUTE	Alpha=0.2 still worse.
P4_a050	3.1262	2.9132	-0.2130	3	24	0.5	1			REFUTE	Alpha=0.5 still worse. ASA features harmful as attention bias.
FIX_ALIGN	-	-	-	-	24	-	-			INFO	ORBITAL ALIGNMENT FIX: moved QUERY dims 20-23→16-19 on requirements. Dot product nonzero: 2.5%→44.4%.
P2v2_3ep	2.9324	2.9231	-0.0093	3	24	0.0	1			INFO	3ep with aligned features. Gap narrowed -0.028→-0.009.
P3_5ep	2.8552	2.8390	-0.0162	5	24	0.0	1			INFO	5ep: gap narrowing trend. -0.036(ep1)→-0.016(ep5). Wave converging.
P4v2_a005	3.1240	2.9231	-0.2009	3	24	0.05	1			REFUTE	Aligned features: alpha still harmful.
P4v2_a010	3.1209	2.9231	-0.1978	3	24	0.1	1			REFUTE	Same.
P4v2_a020	3.1264	2.9231	-0.2033	3	24	0.2	1			REFUTE	Same. Fixed bias disrupts learned attention.
W4_heads	3.0319	2.9102	-0.1217	3	24	0.0	1			REFUTE	4 wave heads: way too many. Lost learnable capacity.
W1_head	2.8987	2.9184	+0.0197	3	24	0.0	1			KEEP	1 wave head WINS! +0.02 gap. Sweet spot: minimal structural intervention.
W2_boost	2.9232	2.9265	+0.0034	3	24	0.0	1			INFO	Wave boost: slight win. Learned Q/K + wave bias helps but weak.
P5_3seed	2.9128	2.9251	+0.0123	3	24	0.0	3	1.605		INFO	1-wave-head 3-seed: wins 3/3 but t=1.6, p>0.10. Effect small (+0.42%).
P5v2_5ep	2.8338	2.8327	-0.0012	5	24	0.0	3	-0.289		REFUTE	5-epoch 3-seed: advantage ERASED. Mean gap -0.001, wave wins 1/3. Standard catches up.
DIAG_overlap	-	-	-	-	24	-	-			INFO	Overlap decomposition: orbitals=71%, semantics=15%, query=0%. POS-level info dominates.
